City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,75.56,overcast clouds,-23.1203,-134.9692,People ThankYou
12,Acarau,BR,83.77,few clouds,-2.8856,-40.12,castelo pizzaria
18,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
20,Kieta,PG,79.43,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
22,Mazamari,PE,89.42,broken clouds,-11.3258,-74.5308,Hospedaje Ratto
23,Atuona,PF,77.86,few clouds,-9.8,-139.0333,Villa Enata
44,Bulnes,CL,77.76,overcast clouds,-36.7423,-72.2985,Casa de Adobe
46,Butaritari,KI,83.25,clear sky,3.0707,172.7902,Isles Sunset Lodge
48,Cayenne,GF,87.84,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
50,Meulaboh,ID,75.09,overcast clouds,4.1363,96.1285,Kost Pria
53,Touros,BR,86.9,few clouds,-5.1989,-35.4608,INN NEW HORIZON
54,Vikravandi,IN,76.62,light rain,12.0333,79.55,Priya Residency
61,Tarata,BO,81.82,broken clouds,-17.6167,-66.0167,Hacienda castillo
64,Jardim,BR,89.35,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
65,Hilo,US,78.24,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
67,Bundaberg,AU,76.21,overcast clouds,-24.85,152.35,Takalvan Motel
82,Hithadhoo,MV,83.62,overcast clouds,-0.6,73.0833,Scoop Guest House
85,Bandarbeyla,SO,78.58,clear sky,9.4942,50.8122,JABIR HOTEL
87,Ewa Beach,US,79.68,few clouds,21.3156,-158.0072,Uncle Junior Robert
91,Bubaque,GW,83.34,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
92,Tual,ID,84.02,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
94,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
95,Guerrero Negro,MX,81.45,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
98,Avarua,CK,75.25,clear sky,-21.2078,-159.775,Paradise Inn
115,Katobu,ID,75.87,overcast clouds,-4.9408,122.5276,La Ode Husein
117,Sao Jose Da Coroa Grande,BR,79.02,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
126,Tefe,BR,89.71,few clouds,-3.3542,-64.7114,Aracati Hotel
127,Georgetown,MY,80.89,scattered clouds,5.4112,100.3354,Cititel Penang
131,Victoria,HK,78.24,light rain,22.2855,114.1577,Mini Hotel Central
132,The Valley,AI,87.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
133,Kavieng,PG,82.67,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
135,Itarantim,BR,78.13,broken clouds,-15.6597,-40.0656,Pousada Buterfly
138,Tautira,PF,78.82,scattered clouds,-17.7333,-149.15,Pension Oaoa
140,San Quintin,MX,75.69,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
145,Dingle,PH,75.63,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
148,Coahuayana,MX,87.85,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
154,Lazaro Cardenas,MX,85.01,clear sky,17.9583,-102.2,quinta antigua
158,Padang,ID,78.26,overcast clouds,-0.9492,100.3543,Mercure Padang
160,Isangel,VU,75.15,clear sky,-19.55,169.2667,Tanna Lodge
162,Kapaa,US,78.78,heavy intensity rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
167,Cabedelo,BR,81.27,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
170,Isabela,PH,77.05,heavy intensity rain,6.7085,121.9711,Isawad Resort
173,Sao Filipe,CV,79.74,overcast clouds,14.8961,-24.4956,Hotel Xaguate
182,San Andres,CO,83.68,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
183,Sur,OM,78.48,clear sky,22.5667,59.5289,Sur Plaza Hotel
184,Virginia Beach,US,78.84,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
187,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
191,Soyo,AO,79.2,scattered clouds,-6.1349,12.3689,Hotel Mpampa
192,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
193,Bengkulu,ID,75.56,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
196,Labuhan,ID,80.82,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
202,Ojinaga,MX,76.15,clear sky,29.5667,-104.4167,Suites Las Palmas
203,Ken Caryl,US,75.58,clear sky,39.5773,-105.1169,Hampton Inn & Suites Denver Littleton
