City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bethel,US,41.3712,-73.414,54.48,73,90,3.0,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,75.56,76,99,18.3,overcast clouds
2,Amapa,BR,1.0,-52.0,85.19,55,100,3.02,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,51.42,53,40,29.93,scattered clouds
4,Marsa Matruh,EG,31.3525,27.2453,72.55,75,100,6.2,overcast clouds
5,Hobart,AU,-42.8794,147.3294,44.46,70,90,14.97,overcast clouds
6,Port Lincoln,AU,-34.7333,135.8667,51.51,62,56,7.38,broken clouds
7,Busselton,AU,-33.65,115.3333,46.04,83,17,8.39,few clouds
8,Severo-Kurilsk,RU,50.6789,156.125,43.02,98,100,6.55,overcast clouds
9,Mataura,NZ,-46.1927,168.8643,51.44,90,67,4.03,broken clouds
10,Hadrut,AZ,39.52,47.0318,47.48,70,98,3.8,overcast clouds
11,Vaini,TO,-21.2,-175.2,71.76,94,75,4.61,light intensity shower rain
12,Acarau,BR,-2.8856,-40.12,83.77,61,12,16.69,few clouds
13,Vostok,RU,46.4856,135.8833,31.59,67,0,2.98,clear sky
14,Port Alfred,ZA,-33.5906,26.891,63.88,82,85,14.52,light rain
15,Kichmengskiy Gorodok,RU,59.9816,45.7854,35.53,95,100,10.49,overcast clouds
16,Talnakh,RU,69.4865,88.3972,15.67,95,100,9.04,overcast clouds
17,Snasa,NO,64.2457,12.3778,47.61,96,100,3.98,overcast clouds
18,Puerto Ayora,EC,-0.7393,-90.3518,80.56,83,66,11.01,broken clouds
19,Provideniya,RU,64.3833,-173.3,9.3,75,69,3.36,broken clouds
20,Kieta,PG,-6.2167,155.6333,79.43,82,90,4.52,overcast clouds
21,Qaanaaq,GL,77.484,-69.3632,13.14,68,98,7.96,overcast clouds
22,Mazamari,PE,-11.3258,-74.5308,89.42,45,80,3.6,broken clouds
23,Atuona,PF,-9.8,-139.0333,77.86,71,23,12.88,few clouds
24,New Norfolk,AU,-42.7826,147.0587,44.1,72,46,1.01,scattered clouds
25,Yellowknife,CA,62.456,-114.3525,33.42,99,75,1.99,broken clouds
26,Hamilton,US,39.1834,-84.5333,59.88,96,90,1.01,light rain
27,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,88,20,10.83,few clouds
28,Ahipara,NZ,-35.1667,173.1667,60.35,93,100,5.86,overcast clouds
29,Khatanga,RU,71.9667,102.5,1.76,83,100,11.21,overcast clouds
30,Huarmey,PE,-10.0681,-78.1522,70.99,70,30,13.73,scattered clouds
31,Iqaluit,CA,63.7506,-68.5145,37.13,81,90,13.0,overcast clouds
32,Luderitz,NA,-26.6481,15.1594,60.82,84,0,12.01,clear sky
33,Verkhnyaya Inta,RU,65.9811,60.3094,11.84,98,71,11.7,broken clouds
34,Nikolskoye,RU,59.7035,30.7861,53.87,85,100,8.9,overcast clouds
35,Geraldton,AU,-28.7667,114.6,52.21,82,0,10.36,clear sky
36,Saskylakh,RU,71.9167,114.0833,-11.99,97,96,8.12,overcast clouds
37,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,94,90,11.5,mist
38,Cape Town,ZA,-33.9258,18.4232,65.08,77,75,1.01,broken clouds
39,Fairbanks,US,64.8378,-147.7164,21.22,90,90,0.0,mist
40,Ponta Do Sol,PT,32.6667,-17.1,74.71,70,63,9.4,broken clouds
41,Tazovskiy,RU,67.4667,78.7,27.95,97,100,10.71,light snow
42,Ventspils,LV,57.3894,21.5606,46.33,93,20,5.75,few clouds
43,Namibe,AO,-15.1961,12.1522,67.03,82,35,2.68,scattered clouds
44,Bulnes,CL,-36.7423,-72.2985,77.76,16,98,10.54,overcast clouds
45,Albany,US,42.6001,-73.9662,56.95,66,51,3.0,broken clouds
46,Butaritari,KI,3.0707,172.7902,83.25,71,6,17.0,clear sky
47,Bluff,NZ,-46.6,168.3333,52.2,88,100,7.72,overcast clouds
48,Cayenne,GF,4.9333,-52.3333,87.84,77,40,4.0,scattered clouds
49,Beira,MZ,-19.8436,34.8389,73.49,68,20,9.22,few clouds
50,Meulaboh,ID,4.1363,96.1285,75.09,89,99,5.12,overcast clouds
51,Flinders,AU,-34.5833,150.8552,60.8,71,98,5.99,overcast clouds
52,Jinchang,CN,38.4953,102.1739,43.92,33,31,2.46,scattered clouds
53,Touros,BR,-5.1989,-35.4608,86.9,65,18,18.21,few clouds
54,Vikravandi,IN,12.0333,79.55,76.62,90,100,5.35,light rain
55,North Branch,US,45.5113,-92.9802,57.96,73,0,12.01,clear sky
56,Cidreira,BR,-30.1811,-50.2056,70.63,79,100,21.07,overcast clouds
57,Zhigansk,RU,66.7697,123.3711,-5.69,100,98,1.16,overcast clouds
58,Shimoda,JP,34.6667,138.95,56.1,65,100,2.66,overcast clouds
59,Inhambane,MZ,-23.865,35.3833,71.58,68,20,6.91,few clouds
